X,Y,Topography,Grav,Mag
666850,1580460,651.5232951,-75.50211196,13.73843002
668050,1580460,641.8827209,-78.08407769,13.53092194
669250,1580460,629.2479858,-80.95636139,15.31609535
670450,1580460,618.9061686,-83.18833065,26.55052757
671650,1580460,615.6073405,-84.13605757,21.37895012
672850,1580460,608.9095459,-84.94009881,24.95464134
674050,1580460,601.3319295,-84.37919097,29.03873253
675250,1580460,594.73231,-84.26572189,30.92644691
676450,1580460,589.2148031,-84.90838008,36.31475067
677650,1580460,584.955424,-84.80197845,35.34671021
678850,1580460,577.8604024,-83.80243835,34.387146
680050,1580460,572.3483073,-82.60703411,35.38791656
681250,1580460,569.4489339,-82.03038626,36.25047302
682450,1580460,564.1991374,-82.03094158,40.93552399
683650,1580460,559.266866,-81.91439047,46.32221985
684850,1580460,558.3161825,-81.10154309,53.01670074
686050,1580460,563.5005697,-79.83667569,61.94272614
687250,1580460,561.9479675,-79.33278327,72.51709747
688450,1580460,565.8590495,-79.18787522,63.03663635
689650,1580460,568.4802755,-79.11721039,33.57442474
690850,1580460,561.9300537,-79.1290452,72.82408142
692050,1580460,553.2057088,-78.31733127,88.97093201
693250,1580460,549.0997823,-77.33965435,121.2070541
694450,1580460,547.3131714,-76.67760677,80.10279083
695650,1580460,548.9446513,-75.58029647,82.43248749
696850,1580460,548.3032735,-74.53173161,88.73165131
698050,1580460,544.8699849,-73.75530405,72.49925232
699250,1580460,543.1831868,-73.14381542,52.74279022
700450,1580460,538.5350037,-73.31769676,51.25827026
701650,1580460,536.7845764,-72.79972186,66.51577759
702850,1580460,538.0038656,-72.34560595,61.44522095
704050,1580460,541.4644165,-71.95826378,59.03991699
705250,1580460,547.2965495,-70.86968269,37.35514832
706450,1580460,553.1042684,-69.81362634,52.18630219
707650,1580460,559.520284,-68.96600823,64.5824585
708850,1580460,569.9786174,-68.24178748,68.49034882
710050,1580460,577.1139323,-67.83006272,88.91755676
711250,1580460,580.3387044,-67.39571147,124.814949
712450,1580460,581.7408854,-67.24356284,155.6687317
713650,1580460,583.291921,-67.69757719,125.3788528
714850,1580460,587.671285,-67.91536498,137.4906464
716050,1580460,590.7713216,-68.39156098,104.5495987
717250,1580460,597.585612,-69.31305399,123.8690567
718450,1580460,616.8064779,-68.81816463,141.4871674
719650,1580460,620.7400716,-67.39924545,172.6104431
720850,1580460,612.8581034,-67.74991016,185.5281677
722050,1580460,618.00177,-68.19157405,188.1097412
723250,1580460,626.3941345,-68.10510039,181.5302734
724450,1580460,632.5776774,-68.09877496,172.9217987
725650,1580460,628.4408671,-68.64638963,115.1248703
726850,1580460,634.7749329,-70.22876477,70.29570007
728050,1580460,638.7561035,-71.45887728,52.5881424
729250,1580460,619.9630839,-71.94396391,0.061426163
730450,1580460,616.686554,-72.14038901,-39.80147552
731650,1580460,614.346934,-72.73587918,-39.63168335
732850,1580460,618.2626343,-73.7572989,14.94542503
734050,1580460,625.6089986,-72.67261038,42.19887543
735250,1580460,627.0245056,-72.52549505,14.98954201
736450,1580460,599.5571696,-72.19791064,-34.38341522
737650,1580460,590.4334717,-73.72391329,-81.37217712
738850,1580460,587.3928121,-74.88311114,-99.52645111
740050,1580460,583.0496318,-75.27056527,-52.18452454
741250,1580460,591.3617859,-76.2371007,0.83757782
